,core,peri,log2fc,pvalue
KCTD6,0.040404195839666,0.005342075010303,0.035062120829362,0.030179197362652
MASTL,0.049126364602978,0.014055734800132,0.035070629802846,0.080885534442243
FANCM,0.035081656327602,0,0.035081656327602,0.014523321715395
LINC01268,0.084056284319054,0.048936254656883,0.035120029662171,0.216582011288434
CLK2,0.07236721233272,0.037242249989288,0.035124962343432,0.163281596200845
NMNAT1,0.064923373839636,0.029794569177141,0.035128804662495,0.169375118377777
IPO8,0.075695267077443,0.040565603367286,0.035129663710157,0.19025531624055
FOXRED2,0.035141088427113,0,0.035141088427113,0.014454015581274
SC5D,0.051994349460916,0.016839154252331,0.035155195208585,0.077200174880973
ATOH8,0.035158948882223,0,0.035158948882223,0.014308121758002
ADCK5,0.035160024052971,0,0.035160024052971,0.014317324236147
MRPL1,0.035162481770418,0,0.035162481770418,0.014712083592065
NIPSNAP3A,0.064949347024337,0.02977949012983,0.035169856894508,0.138919558046343
INCENP,0.040750559824542,0.005576383449006,0.035174176375536,0.031995539648566
DNAL1,0.035184600385129,0,0.035184600385129,0.015046908940947
SLC35E2A,0.042903048215111,0.007717782262333,0.035185265952779,0.050724701538626
MAP3K5,0.221733609191149,0.186530634087022,0.035202975104128,0.493049324835559
IGLON5,0.03520362541021,0,0.03520362541021,0.014421079668955
POMZP3,0.03522272114651,0,0.03522272114651,0.014313193358794
STC1,0.035226535392924,0,0.035226535392924,0.014306560786874
ATP1B3-AS1,0.03523073298283,0,0.03523073298283,0.014534297554593
ST18,0.06982417167605,0.034567839661812,0.035256332014238,0.166986833519505
NSMCE4A,0.070850832913496,0.035590918652945,0.035259914260552,0.160014140408868
GATAD2A,0.16726277065165,0.132002650895803,0.035260119755847,0.424895849404045
ZC3H7B,0.042141740552994,0.006880521088382,0.035261219464612,0.043351534360439
CSRP1,0.13536189624371,0.100100444322777,0.035261451920933,0.372026749220481
DGCR8,0.041339422146017,0.006063384942715,0.035276037203302,0.035168109656946
SIK1,0.035301035429922,0,0.035301035429922,0.015060337645989
MFSD2A,0.040965274424745,0.005656257301812,0.035309017122932,0.032093363890617
RAD51D,0.041265437837521,0.005949295916771,0.03531614192075,0.034361630366972
ZBTB46,0.035317061330036,0,0.035317061330036,0.014299729607544
ZNF891,0.047663769888628,0.012345019202142,0.035318750686486,0.062921670983098
RND2,0.035319700308376,0,0.035319700308376,0.027147496459662
AC109630.1,0.035332453858043,0,0.035332453858043,0.014528470827543
MTRES1,0.035345819725703,0,0.035345819725703,0.014335291269376
PSMD5,0.04706057173799,0.011701350938656,0.035359220799334,0.056859702157821
ZSWIM4,0.041424152833648,0.006064175640737,0.035359977192911,0.035188971784667
FAAP100,0.035371109677396,0,0.035371109677396,0.014334747875738
LINC00665,0.035374739320339,0,0.035374739320339,0.026280421540404
NUMBL,0.035389609724555,0,0.035389609724555,0.014795403667758
RIN1,0.035394256828919,0,0.035394256828919,0.01435219161658
FAIM,0.043397814694037,0.007966360796935,0.035431453897102,0.053152255541555
OMA1,0.056263441825856,0.020813387412717,0.035450054413139,0.114854675195175
UBXN8,0.035453316693102,0,0.035453316693102,0.01511288288841
LINC01374,0.041561315317895,0.006105460669491,0.035455854648405,0.035630860877332
SYT6,0.035465343280254,0,0.035465343280254,0.01441876616638
IRF4,0.035477093981102,0,0.035477093981102,0.014340665590357
NFYB,0.082390336062988,0.04691134768186,0.035478988381128,0.224259548580051
ELAC1,0.035500201024512,0,0.035500201024512,0.014485491715388
NUBPL,0.041356760201674,0.005841984788612,0.035514775413062,0.033283064584652
NUDT15,0.035533708473376,0,0.035533708473376,0.014402760159704
FCSK,0.041067966240372,0.005500148302402,0.03556781793797,0.031249468802884
RANBP10,0.084359970770928,0.048782066503589,0.035577904267339,0.201678105916614
TAF13,0.072761269040061,0.03718239308724,0.035578875952821,0.198225320641164
TNFRSF14-AS1,0.054487367063004,0.018901287043074,0.03558608001993,0.093764679589271
YES1,0.035618543088096,0,0.035618543088096,0.014738720797801
RGMB,0.040824969262573,0.005192633207779,0.035632336054793,0.028632578692371
RCC1,0.035643308640141,0,0.035643308640141,0.014305574572009
LAMA5,0.035646341955489,0,0.035646341955489,0.01450266849616
FASTKD1,0.046919794314031,0.011243999443952,0.035675794870079,0.053703026745698
TMEM80,0.075188833626093,0.039497920907271,0.035690912718822,0.176771438305456
MADD,0.074865387151231,0.039168343213726,0.035697043937505,0.173819237308033
TGFB2,0.035697860088702,0,0.035697860088702,0.014898336776994
MCOLN2,0.035701650282575,0,0.035701650282575,0.014449736498551
IL6,0.035701824917372,0,0.035701824917372,0.014348307841498
